src_action_id,publisher_id,action_name,action_type,description,investment_cost,implementation_timeline,subsector_number,gpc_reference_number,emissions_impact_text,emissions_impact_numeric,cobenefits,action_role,intervention_type,outcome_summary,intervention_summary,generation_method
c40_0010,c40,Introduce energy-efficiency standards for new residential buildings,mitigation,"The city adopts new energy-efficiency standards for residential construction, ensuring all new buildings incorporate design and performance requirements such as improved thermal insulation, natural ventilation, shading devices, efficient lighting (LED), and solar-ready wiring for PV integration. Standards may also establish region-dependent requirements for cooling demand reduction (e.g., reflective roofs, cross-ventilation) and may also include whole life carbon requirements and promote the use of sustainable materials. Smaller cities can integrate these requirements into basic building codes, while larger cities can introduce advanced certifications or municipal green building standards.",low,<5 years,I.1,"[""I.1.1"",""I.1.2""]",very low,1,"[""air_quality"", ""housing""]",intervention,regulatory,New residential buildings meet higher energy-efficiency standards.,The city adopts energy-efficiency requirements in the building code for new residential construction.,expert_reviewed
c40_0012,c40,Introduce energy-efficiency standards for new institutional buildings,mitigation,"The city introduces energy-efficient and resource-efficient standards for schools, hospitals, and other public buildings, setting an example for sustainable construction. Standards should mandate efficient HVAC systems with proper zoning, daylighting strategies to reduce artificial lighting, occupancy sensors, reflective roofs, and integration of photovoltaic (PV) systems where feasible. They can also include whole-life carbon requirements and promote the use of sustainable materials. Requirements may vary depending on regional climate conditions to address specific cooling or thermal comfort needs.",low,<5 years,I.2,"[""I.2.1"",""I.2.2""]",very low,1,"[""air_quality"", ""housing""]",intervention,regulatory,New institutional buildings meet higher energy-efficiency standards.,"The city sets energy-efficiency standards for new schools, hospitals, and other public buildings.",expert_reviewed
c40_0013,c40,Support Implementation of Industrial Building Efficiency Standards.,mitigation,"Support Implementation of Industrial Building Efficiency Standards set guidelines for environmentally responsible construction, ensuring that new structures adhere to energy-efficient practices, thereby reducing carbon emissions and promoting sustainable urban development. Standards may also include whole life carbon requirements and promote the use of sustainable materials.",low,<5 years,I.3,"[""I.3.1"",""I.3.2""]",very low,1,"[""housing"", ""air_quality""]",intervention,regulatory,New industrial buildings meet energy-efficiency and sustainable-materials standards.,The city supports implementation of industrial building efficiency standards.,expert_reviewed
c40_0015,c40,Retrofit residential buildings for energy efficiency,mitigation,"The city supports retrofitting existing residential buildings to improve energy efficiency and reduce emissions. Key interventions include replacing inefficient refrigerators, air conditioners, and lighting with high-efficiency models (e.g., PROCEL Seal appliances), sealing windows and doors to reduce air leakage, and improving indoor comfort through natural ventilation and shading. Municipalities can facilitate access to financing programs, bulk procurement, and technical assistance for households to adopt upgrades. Retrofits should prioritize passive cooling strategies (shading, ventilation) before installing high-efficiency cooling technologies using low-GWP refrigerants.",low,<5 years,I.1,"[""I.1.1"",""I.1.2""]",very low,1,"[""air_quality"", ""housing""]",intervention,infrastructure,Existing residential buildings use less energy.,The city funds and supports residential energy-efficiency retrofits.,expert_reviewed
c40_0016,c40,Retrofit commercial and institutional other non-residential buildings  for energy efficiency ,mitigation,"The city promotes energy retrofits in commercial and institutional buildings such as offices, shopping centers, universities, and hotels. Measures include upgrading HVAC systems with variable refrigerant flow (VRF) units, replacing fluorescent and halogen lighting with LEDs, implementing building automation and energy management systems, and improving the thermal envelope (insulation, reflective coatings, shading). Region-specific adaptations may also be required to address cooling and comfort needs. Retrofits often deliver short payback periods through lower operating costs and enhanced occupant comfort. Retrofits should prioritize passive cooling strategies (shading, ventilation) before installing high-efficiency cooling technologies using low-GWP refrigerants.",low,<5 years,I.2,"[""I.2.1"",""I.2.2""]",very low,1,"[""housing"", ""air_quality""]",intervention,infrastructure,Existing commercial and institutional buildings use less energy.,The city promotes energy retrofits in commercial and institutional buildings.,expert_reviewed
c40_0017,c40,Retrofit municipal buildings for energy efficiency,mitigation,"The city leads by example through energy retrofits in municipal buildings, including schools, health centers, and administrative offices. Interventions include replacing outdated air conditioners with high-efficiency models, upgrading lighting to LEDs with smart controls, improving building envelopes with reflective roofs and shading, and installing energy management systems for real-time monitoring. Adaptations should reflect regional climate conditions to ensure cost-effective energy savings. By prioritizing its own facilities, the city demonstrates leadership, reduces operating expenses, and showcases practical solutions that can be replicated by the private sector. Retrofits should prioritize passive cooling strategies (shading, ventilation) before installing high-efficiency cooling technologies using low-GWP refrigerants.",low,<5 years,I.2,"[""I.2.1"",""I.2.2""]",very low,1,"[""housing"", ""air_quality""]",intervention,infrastructure,Municipal buildings use less energy.,The city retrofits its own municipal buildings for energy efficiency.,expert_reviewed
c40_0018,c40,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,mitigation,"The city will promote the optimization of energy and environmental performance in existing industrial infrastructure, aiming to maximize efficiency, reduce emissions, and lower operational costs. This action focuses on upgrading equipment, improving process efficiency, and retrofitting industrial facilities to meet higher sustainability standards. Municipal roles may include providing incentives for energy audits and retrofits, facilitating partnerships with industry associations and utilities, and adopting regulations or voluntary standards aligned with national efficiency programs. These measures enhance industrial competitiveness, reduce resource intensity, and contribute to the city’s broader decarbonization and circular economy objectives.",low,<5 years,I.3,"[""I.3.1"",""I.3.2""]",very low,1,"[""air_quality"", ""housing""]",intervention,regulatory,Existing industrial facilities operate at higher energy and environmental performance.,The city incentivises energy audits and retrofits in existing industrial infrastructure.,expert_reviewed
c40_0023,c40,Adopt zero-emission bus fleets for public transport,mitigation,"Adopt zero-emission bus fleets for public transport mitigation focuses on transitioning public transport fleets to zero-emission buses. According to the HIA, this means that the city or transit operator procures only zero-emission buses (from 2020 onwards). This strategy eliminates tailpipe emissions from traditional buses, improves air quality, and supports a sustainable and resilient urban transport system. Eco-driving training and maintenance programs can be implemented in parallel to maximize efficiency gains and emission reductions during the fleet transition.",high,<5 years,II.1,"[""II.1.1""]",low,2,"[""air_quality""]",outcome,,Public transport fleets shift to zero-emission buses.,,expert_reviewed
c40_0025,c40,Promote deployment of zero-emission freight fleets (trucks),mitigation,"Promote deployment of zero-emission freight fleets (trucks) mitigation involves adopting cleaner fuels and technologies to reduce the environmental impact of freight transportation. This initiative aims to decrease air pollution, promote sustainability, and improve the overall efficiency of urban logistics. Eco-driving training and maintenance programs can be implemented in parallel to maximize efficiency gains and emission reductions during the fleet transition.",medium,<5 years,II.1,"[""II.1.1""]",very low,1,"[""air_quality""]",intervention,program,Urban freight fleets shift to zero-emission trucks.,The city promotes zero-emission freight fleet adoption.,expert_reviewed
c40_0029,c40,Electrify municipal vehicle fleets,mitigation,"The city transitions its municipal vehicle fleets to electric vehicles, beginning with high-impact segments such as buses and garbage trucks. According to HIA guidance, this aligns with the broader objective of implementing key measures to promote transport electrification. Cities can adopt phased strategies, starting with their own fleets, then expanding through incentives for private sector fleets and gradually scaling as charging infrastructure develops. Emphasis should be placed on equity to ensure low-income areas also benefit from cleaner, quieter transport. Eco-driving training and maintenance programs can be implemented in parallel to maximize efficiency gains and emission reductions during the fleet transition.",high,5-10 years,II.1,"[""II.1.1""]",medium,3,"[""air_quality"", ""habitat"", ""stakeholder_engagement""]",outcome,,Municipal vehicle fleets shift to electric power.,,expert_reviewed
