"src_action_id","publisher_id","action_name","action_type","action_role","stable_id","short_label","sector_path","mapping_confidence","rationale"
c40_0010,c40,Introduce energy-efficiency standards for new residential buildings,mitigation,intervention,energy_efficient_new_housing,T-4A1-TE-1 - Energy efficient new Housing,Buildings > Residential > Hvac,high,New-build performance standards align with TEF new residential heating energy intensity.
c40_0010,c40,Introduce energy-efficiency standards for new residential buildings,mitigation,intervention,low_carbon_construction_of_multi_family_residential_housing,T-4C1-TE-2 - Low carbon construction of multi-family buildings,Buildings > Building Stocks > Construction,medium,Codes that drive lower embodied/operational carbon for new multifamily stock map to low-carbon multifamily construction TE.
c40_0012,c40,Introduce energy-efficiency standards for new institutional buildings,mitigation,intervention,energy_efficient_new_commercial_buildings,T-4B1a-TE-9 - Energy efficient new Commercial Buildings,Buildings > Non Residential > Hvac > Commercial Hvac,high,TEF explicitly includes heating of new public buildings under this TE.
c40_0012,c40,Introduce energy-efficiency standards for new institutional buildings,mitigation,intervention,low_carbon_construction_of_non_residential_commercial_buildings,T-4C1-TE-3 - Low carbon construction of commercial buildings,Buildings > Building Stocks > Construction,medium,Whole-life / low-carbon construction requirements for institutional typologies fit commercial low-carbon new-build TE.
c40_0013,c40,Support Implementation of Industrial Building Efficiency Standards.,mitigation,intervention,energy_efficient_non_residential_industrial_buildings_retrofitting,T-4B1c-TE-6 - Retrofitting industrial buildings for efficient heating,Buildings > Non Residential > Hvac > Other Hvac,high,Industrial building thermal performance improvement is the closest building-stock TE for industrial HVAC.
c40_0013,c40,Support Implementation of Industrial Building Efficiency Standards.,mitigation,intervention,energy_efficient_other_industrial_electric_appliances,T-4B2c-TE-2 - Energy efficient industrial electrical appliances,Buildings > Non Residential > Other Energy Usage > Other,medium,Standards often cover plug/process electric loads; this TE captures industrial electrical end-use efficiency.
c40_0015,c40,Retrofit residential buildings for energy efficiency,mitigation,intervention,energy_efficient_single_family_residential_buildings_retrofitting,T-4A1b-TE-6 - Retrofitting single-family buildings for efficient heating,Buildings > Residential > Hvac > Single Family Hvac,high,Explicit residential retrofit-for-efficiency TE.
c40_0015,c40,Retrofit residential buildings for energy efficiency,mitigation,intervention,energy_efficient_multi_family_residential_buildings_retrofitting,T-4A1a-TE-6 - Retrofitting multi-family buildings for efficient heating,Buildings > Residential > Hvac > Multi Family Hvac,high,Same for multifamily segment.
c40_0015,c40,Retrofit residential buildings for energy efficiency,mitigation,intervention,efficient_use_single_family_residential_buildings_cooling,T-4A1b-TE-7 - Energy efficient use of ACs in single-family buildings,Buildings > Residential > Hvac > Single Family Hvac,medium,Action text emphasizes efficient cooling and AC; maps to efficient AC use TE.
c40_0015,c40,Retrofit residential buildings for energy efficiency,mitigation,intervention,efficient_use_multi_family_residential_buildings_cooling,T-4A1a-TE-7 - Energy efficient use of ACs in multi-family buildings,Buildings > Residential > Hvac > Multi Family Hvac,medium,Same cooling logic for multifamily.
c40_0016,c40,Retrofit commercial and institutional other non-residential buildings  for energy efficiency,mitigation,intervention,energy_efficient_non_residential_commercial_buildings_retrofitting,T-4B1a-TE-6 - Retrofitting commerical buildings for efficient heating,Buildings > Non Residential > Hvac > Commercial Hvac,high,Covers offices and general non-residential commercial retrofits.
c40_0016,c40,Retrofit commercial and institutional other non-residential buildings  for energy efficiency,mitigation,intervention,energy_efficient_non_residential_commercial_buildings_retrofitting_cooling,T-4B1a-TE-7 - Retrofitting commerical buildings for efficient cooling,Buildings > Non Residential > Hvac > Commercial Hvac,medium,Parallel cooling retrofit pathway in TEF.
c40_0017,c40,Retrofit municipal buildings for energy efficiency,mitigation,intervention,energy_efficient_non_residential_public_buildings_retrofitting,T-4B1b-TE-6 - Retrofitting public buildings for efficient heating,Buildings > Non Residential > Hvac > Institutional Hvac,high,Institutional/public building heating retrofit TE matches municipal stock.
c40_0017,c40,Retrofit municipal buildings for energy efficiency,mitigation,intervention,energy_efficient_non_residential_public_buildings_retrofitting_cooling,T-4B1b-TE-7 - Retrofitting public buildings for efficient cooling,Buildings > Non Residential > Hvac > Institutional Hvac,medium,Cooling retrofit TE for the same typology.
c40_0018,c40,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,mitigation,intervention,shift_to_electricity_in_other_industries,T-2D5-TE-3 - Shift to electricity in other industries,Industry > Other > Other,medium,Broad industrial decarbonization envelope when subsector is unspecified.
c40_0018,c40,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,mitigation,intervention,energy_efficient_other_industrial_electric_appliances,T-4B2c-TE-2 - Energy efficient industrial electrical appliances,Buildings > Non Residential > Other Energy Usage > Other,medium,Process and auxiliary electric efficiency in industrial sites.
c40_0018,c40,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,mitigation,intervention,efficient_use_of_mobile_machinery,T-2D4-TE-3 - Efficient use of mobile machinery,Industry > Other > Mobile Machinery,low,Many industrial sites include significant mobile machinery energy; only partial fit.
c40_0023,c40,Adopt zero-emission bus fleets for public transport,mitigation,transition_element,shift_to_electric_buses,T-1A1C-TE-5 - Shift to electric busses,Transport > Mobility > Road > Buses,high,Direct electric bus stock shift TE.
c40_0023,c40,Adopt zero-emission bus fleets for public transport,mitigation,transition_element,increased_proportion_of_commuting_by_electric_bus,T-1A1a-TE-12 - Shift to travel by electric bus,Transport > Mobility > Road > Light Duty Vehicles,medium,Modal shift framing from car travel to electric bus (often co-implemented with BRT upgrades).
c40_0025,c40,Promote deployment of zero-emission freight fleets (trucks),mitigation,intervention,shift_to_electric_heavy_trucks,T-1B1b-TE-6 - Shift to electric heavy trucks,Transport > Freight > Road > Heavy Duty Trucks,high,Battery-electric heavy freight TE.
c40_0025,c40,Promote deployment of zero-emission freight fleets (trucks),mitigation,intervention,hydrogen_for_heavy_trucks,T-1B1b-TE-4 - Shift to hydrogen for heavy trucks,Transport > Freight > Road > Heavy Duty Trucks,medium,Zero-emission freight can be hydrogen for long-haul segments; TEF includes this shift.
c40_0029,c40,Electrify municipal vehicle fleets,mitigation,transition_element,shift_to_electric_vehicles,T-1A1a-TE-1 - Shift to electric cars,Transport > Mobility > Road > Light Duty Vehicles,high,Light-duty municipal fleet electrification.
c40_0029,c40,Electrify municipal vehicle fleets,mitigation,transition_element,electric_light_trucks,T-1B1a-TE-6 - Shift to electric light trucks,Transport > Freight > Road > Light Duty Trucks,high,Service vans and small municipal trucks.
c40_0029,c40,Electrify municipal vehicle fleets,mitigation,transition_element,shift_to_electric_buses,T-1A1C-TE-5 - Shift to electric busses,Transport > Mobility > Road > Buses,medium,Many cities include buses in the municipal fleet.
c40_0029,c40,Electrify municipal vehicle fleets,mitigation,transition_element,shift_to_electric_heavy_trucks,T-1B1b-TE-6 - Shift to electric heavy trucks,Transport > Freight > Road > Heavy Duty Trucks,medium,Garbage trucks and other HD municipal vehicles.
c40_0034,c40,Enact and enforce material bans in order to restrict single use and non-recyclable materials,mitigation,intervention,,,,none,TEF has no product-level materials policy TE; downstream waste TEs are indirect and not specific enough to claim a confident map.
c40_0035,c40,Optmize waste management systems,mitigation,intervention,increased_recycling,T-6A1-TE-1 - Shift to recycling of solid waste,Waste > Solids > Solid Waste Disposal,high,System optimization typically increases diversion to recycling.
c40_0035,c40,Optmize waste management systems,mitigation,intervention,shift_to_composting_of_organic_waste,T-6A1-TE-2 - Shift to composting of organic waste,Waste > Solids > Solid Waste Disposal,medium,Organics treatment pathway in solid waste TEs.
c40_0035,c40,Optmize waste management systems,mitigation,intervention,shift_to_landfill_gas_recovery,T-6A1-TE-4 - Shift to landfill gas recovery,Waste > Solids > Solid Waste Disposal,low,Where landfills remain part of optimized systems gas recovery TE may apply.
c40_0036,c40,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,mitigation,intervention,shift_to_landfill_gas_recovery,T-6A1-TE-4 - Shift to landfill gas recovery,Waste > Solids > Solid Waste Disposal,high,Direct engineered landfill gas recovery shift in TEF waste module.
c40_0036,c40,Upgrade Landfills to Engineered Sanitary Landfills with Gas Capture.,mitigation,intervention,increased_energy_recovery_from_waste,T-5A3-TE-6 - Increased energy recovery from waste,Energy > Energy Supply > Combined Heat Power,medium,When captured gas is used for energy recovery CHP/waste-energy TEs are adjacent.
c40_0037,c40,"Implement residential and business segregated collection of recyclables, organic, and residual waste",mitigation,intervention,increased_recycling,T-6A1-TE-1 - Shift to recycling of solid waste,Waste > Solids > Solid Waste Disposal,high,Segregated collection enables recycling throughput shift.
c40_0037,c40,"Implement residential and business segregated collection of recyclables, organic, and residual waste",mitigation,intervention,shift_to_composting_of_organic_waste,T-6A1-TE-2 - Shift to composting of organic waste,Waste > Solids > Solid Waste Disposal,high,Organics bin maps to composting diversion TE.
c40_0040,c40,Implement Volume-Based Collection policy,mitigation,intervention,increased_recycling,T-6A1-TE-1 - Shift to recycling of solid waste,Waste > Solids > Solid Waste Disposal,medium,Economic instruments reduce generation and increase diversion; recycling TE is the closest mass-flow analogue.
