action_id,action_name,action_type,hazard_name,sector_names,subsector_names,primary_purpose,description,cobenefits_airquality,cobenefits_waterquality,cobenefits_habitat,cobenefits_costofliving,cobenefits_housing,cobenefits_mobility,cobenefits_stakeholderengagement,equity_and_inclusion_considerations,ghgreduction_stationary_energy,ghgreduction_transportation,ghgreduction_waste,ghgreduction_ippu,ghgreduction_afolu,adaptation_effectiveness,cost_investment_needed,timeline_for_implementation,dependencies,key_performance_indicators,powers_and_mandates,adaptation_effectiveness_droughts,adaptation_effectiveness_heatwaves,adaptation_effectiveness_floods,adaptation_effectiveness_sealevelrise,adaptation_effectiveness_landslides,adaptation_effectiveness_storms,adaptation_effectiveness_wildfires,adaptation_effectiveness_diseases,biome,release_date,is_latest,is_deleted
c40_0009,New Building Standards,{mitigation},,{stationary_energy},{all},{ghg_reduction},"""New Building Standards"" set guidelines for environmentally responsible construction, ensuring that new structures adhere to energy-efficient practices, thereby reducing carbon emissions and promoting sustainable urban development.",1,0,0,0,-1,0,0,"The ""New Building Standards"" promote equity and inclusion by ensuring that all new constructions, including those in vulnerable or underserved communities, adhere to energy-efficient practices. This helps to reduce energy costs for residents, making housing more affordable and accessible. Additionally, by prioritizing sustainable urban development, these standards can lead to improved living conditions and health outcomes in these communities, which often face disproportionate environmental burdens. Furthermore, the implementation of these standards can create job opportunities in green construction, benefiting local workers and fostering economic empowerment in underserved areas. Overall, the action considers the needs of vulnerable populations by promoting sustainable practices that enhance their quality of life and economic stability.",0-19,,,,,,low,<5 years,"['Regulatory framework to enforce building standards', 'Availability of sustainable construction materials', 'Training and education for builders and architects on energy-efficient practices', 'Monitoring and evaluation systems to assess compliance with standards', 'Public awareness and support for sustainable building practices']","['Reduction in carbon emissions from new buildings', 'Percentage of new buildings meeting energy efficiency standards', 'Increase in the use of sustainable materials in construction', 'Number of buildings certified under green building standards', 'Energy consumption reduction in new constructions', 'Percentage of urban development projects incorporating green spaces']",,,,,,,,,,none,2025-05-12,false,true
c40_0010,Introduce energy-efficiency standards for new residential buildings,{mitigation},,{stationary_energy},{residential_buildings},{},"The city adopts new energy-efficiency standards for residential construction, ensuring all new buildings incorporate design and performance requirements such as improved thermal insulation, natural ventilation, shading devices, efficient lighting (LED), and solar-ready wiring for PV integration. Standards may also establish region-dependent requirements for cooling demand reduction (e.g., reflective roofs, cross-ventilation) and may also include whole life carbon requirements and promote the use of sustainable materials. Smaller cities can integrate these requirements into basic building codes, while larger cities can introduce advanced certifications or municipal green building standards.",1,0,0,0,-1,0,0,"The ""New Building Standards, Residential buildings"" action promotes equity and inclusion in several ways: 1. **Access to Sustainable Housing**: By establishing guidelines for energy-efficient practices, the action ensures that all new residential buildings, including those in underserved communities, are constructed to be environmentally responsible. This can lead to more affordable utility costs for residents, benefiting low-income households. 2. **Healthier Living Environments**: The focus on sustainable urban development contributes to healthier living conditions, which is particularly important for vulnerable populations who may be disproportionately affected by poor housing quality and environmental hazards. 3. **Job Creation in Underserved Areas**: Implementing new building standards can create job opportunities in construction and related fields, particularly in communities that may lack economic resources. This can help uplift local economies and provide employment for residents. 4. **Community Resilience**: By promoting energy efficiency and sustainable practices, the action enhances the resilience of communities to climate impacts, which is crucial for vulnerable populations that may be more susceptible to climate-related challenges. 5. **Inclusive Policy Development**: The establishment of building standards often involves stakeholder engagement, which can include input from community members, particularly those from underserved backgrounds, ensuring that their needs and perspectives are considered in the development process. Overall, the action integrates equity and inclusion by ensuring that all communities, especially those that are vulnerable or underserved, benefit from sustainable building practices and improved living conditions.",0-19,,,,,,low,<5 years,Regulatory framework to enforce building standards Availability of sustainable building materials Training and education for builders and architects on energy-efficient practices Incentives for developers to adopt green building practices Monitoring and evaluation mechanisms to assess compliance with standards,Energy consumption reduction Carbon emissions reduction Percentage of buildings meeting standards Cost savings from energy efficiency Water usage reduction Sustainable materials usage Occupant satisfaction Compliance rate with building standards,,,,,,,,,,,2025-10-22,true,false
c40_0011,New Building Standards,{mitigation},,{stationary_energy},{commercial_and_institutional_buildings_and_facilities},{ghg_reduction},"""New Building Standards, Commercial buildings"" set guidelines for environmentally responsible construction, ensuring that new structures adhere to energy-efficient practices, thereby reducing carbon emissions and promoting sustainable urban development.",1,0,0,0,-1,0,0,"The ""New Building Standards, Commercial buildings"" action promotes equity and inclusion in several ways: 1. **Access to Sustainable Infrastructure**: By establishing guidelines for energy-efficient practices, the action ensures that all new commercial buildings, including those in underserved communities, are constructed with sustainable features. This can lead to improved access to clean energy and reduced utility costs for local businesses and residents. 2. **Job Creation and Economic Opportunities**: The implementation of new building standards can create job opportunities in construction and related industries, particularly benefiting individuals from vulnerable communities who may face barriers to employment. This can help stimulate local economies and provide pathways to stable employment. 3. **Health Benefits**: Environmentally responsible construction often includes improved indoor air quality and reduced exposure to harmful pollutants. This is particularly beneficial for underserved communities that may already face health disparities, thereby promoting overall community well-being. 4. **Community Resilience**: By promoting sustainable urban development, the action helps build resilience in vulnerable communities against climate impacts. This includes better infrastructure that can withstand extreme weather events, thereby protecting these communities from disproportionate harm. 5. **Equitable Access to Resources**: The standards can encourage the inclusion of community input in the planning and development process, ensuring that the needs and voices of underserved populations are considered in the construction of new commercial buildings. Overall, the action integrates equity and inclusion by ensuring that the benefits of sustainable building practices are accessible to all communities, particularly those that are often marginalized.",20-39,,,,,,low,<5 years,"['Regulatory framework to enforce building standards', 'Availability of sustainable construction materials', 'Training and certification programs for builders and architects', 'Incentives for adopting energy-efficient technologies', 'Public awareness and support for sustainable practices']","['Energy consumption reduction', 'Carbon emissions reduction', 'Percentage of buildings meeting standards', 'Cost savings from energy efficiency', 'Water usage reduction', 'Sustainable materials usage', 'Building occupancy rates', 'Compliance rate with new standards', 'Reduction in urban heat island effect', 'Improvement in indoor air quality']",,,,,,,,,,none,2025-05-12,false,true
c40_0012,Introduce energy-efficiency standards for new institutional buildings,{mitigation},,{stationary_energy},{institutional_buildings},{},"The city introduces energy-efficient and resource-efficient standards for schools, hospitals, and other public buildings, setting an example for sustainable construction. Standards should mandate efficient HVAC systems with proper zoning, daylighting strategies to reduce artificial lighting, occupancy sensors, reflective roofs, and integration of photovoltaic (PV) systems where feasibleand. They can also include whole life carbon requirements and promote the use of sustainable materials. Requirements may vary depending on regional climate conditions to address specific cooling or thermal comfort needs.",1,0,0,0,-1,0,0,"The ""New Building Standards, Institutional buildings"" action promotes equity and inclusion in several ways: 1. **Access to Healthy Environments**: By ensuring that new institutional buildings are constructed with energy-efficient practices, the action contributes to healthier living and working environments for all community members, particularly benefiting vulnerable populations who may be more susceptible to environmental hazards. 2. **Job Creation and Economic Opportunities**: The implementation of these building standards can create job opportunities in construction and related fields, particularly for underserved communities. This can help to uplift local economies and provide pathways to stable employment. 3. **Community Engagement**: The development of new building standards often involves community input, ensuring that the voices of underserved populations are heard and considered in the decision-making process, fostering a sense of ownership and inclusion. 4. **Long-term Cost Savings**: Energy-efficient buildings can lead to lower utility costs, which is particularly beneficial for low-income families and communities. This financial relief can help reduce economic disparities and improve overall quality of life. 5. **Resilience to Climate Impacts**: By promoting sustainable urban development, the action helps build resilience in communities that are often the most affected by climate change, ensuring that vulnerable populations are better equipped to handle environmental challenges. Overall, the action integrates equity and inclusion by addressing the needs of underserved communities, promoting economic opportunities, and fostering healthier environments.",0-19,,,,,,low,<5 years,Compliance from construction companies with the new standards Support from government agencies for enforcement and monitoring Availability of training programs for builders and architects on energy-efficient practices Public awareness and acceptance of sustainable building practices Access to funding or incentives for implementing energy-efficient technologies,Energy consumption reduction Carbon emissions reduction Percentage of buildings meeting new standards Cost savings from energy efficiency Water usage reduction Sustainable materials usage Building occupancy rates Compliance rate with building codes Reduction in urban heat island effect Feedback from building occupants on comfort and sustainability,,,,,,,,,,,2025-10-22,true,false
c40_0013,Support Implementation of Industrial Building Efficiency Standards.,{mitigation},,{stationary_energy},{manufacturing_industries_and_construction},{},"""Support Implementation of Industrial Building Efficiency Standards"" set guidelines for environmentally responsible construction, ensuring that new structures adhere to energy-efficient practices, thereby reducing carbon emissions and promoting sustainable urban development. Standards may also include whole life carbon requirements and promote the use of sustainable materials.",1,0,0,0,-1,0,0,"The ""New Building Standards, Industrial"" action promotes equity and inclusion by ensuring that all new structures, including those in vulnerable or underserved communities, adhere to energy-efficient practices. This helps to reduce energy costs for residents and businesses in these areas, making sustainable living more accessible. Additionally, by prioritizing environmentally responsible construction, the action supports healthier living conditions, which can disproportionately benefit underserved populations who may face higher exposure to environmental hazards. Furthermore, the implementation of these standards can create job opportunities in green construction, providing economic benefits to local communities that may have been historically marginalized. Overall, the action fosters a more equitable urban development landscape by integrating sustainability into the fabric of all new buildings, thereby uplifting vulnerable communities.",0-19,,,,,,low,<5 years,Regulatory framework to enforce building standards Availability of sustainable construction materials Training and certification programs for builders and architects Monitoring and compliance mechanisms to ensure adherence to standards Public awareness and support for sustainable building practices,Reduction in carbon emissions (tons/year) Percentage of new buildings meeting energy efficiency standards Energy consumption per square foot of new buildings Percentage of sustainable materials used in construction Number of new buildings certified under green building standards Reduction in energy costs for new buildings Increase in renewable energy usage in new constructions Compliance rate with building standards,,,,,,,,,,,2025-10-22,true,false
c40_0014,Existing Building Standards,{mitigation},,{stationary_energy},{all},{ghg_reduction},"""Existing Building Standards"" involve interventions to improve the environmental performance of current structures, aiming to boost energy efficiency, decrease emissions, and enhance overall sustainability within a city.",1,0,0,0,-1,0,0,"The ""Existing Building Standards"" climate action promotes equity and inclusion by focusing on the following aspects: 1. **Targeting Vulnerable Communities**: By improving the environmental performance of existing buildings, the action addresses the needs of underserved communities that often reside in older, less efficient structures. These communities typically face higher energy costs and poorer living conditions. 2. **Energy Efficiency Benefits**: Enhancing energy efficiency in buildings can lead to lower utility bills, which directly benefits low-income households. This financial relief helps to alleviate economic burdens on vulnerable populations. 3. **Health Improvements**: Upgrading building standards can lead to better indoor air quality and overall living conditions, which is particularly beneficial for marginalized groups who may be more susceptible to health issues related to poor housing conditions. 4. **Job Creation and Training**: Implementing these standards can create job opportunities in the local community, particularly for individuals from underserved backgrounds. This can include training programs that equip residents with skills needed for green jobs. 5. **Community Engagement**: The development and implementation of building standards often involve community input, ensuring that the voices of those in vulnerable communities are heard and considered in decision-making processes. 6. **Resilience to Climate Impacts**: By improving the sustainability of existing buildings, the action helps vulnerable communities become more resilient to climate change impacts, such as extreme weather events, thereby promoting long-term equity. Overall, the ""Existing Building Standards"" initiative inherently considers equity and inclusion by addressing the specific needs and challenges faced by underserved communities, ultimately fostering a more sustainable and equitable urban environment.",0-19,,,,,,low,<5 years,"['Availability of funding for retrofitting and upgrades', 'Access to skilled labor and contractors for implementation', 'Compliance with local building codes and regulations', 'Availability of technology and materials for energy efficiency improvements', 'Support from local government and stakeholders for policy changes', 'Public awareness and acceptance of building standards and sustainability practices']","['Energy consumption reduction', 'Greenhouse gas emissions reduction', 'Percentage of buildings meeting new standards', 'Cost savings from energy efficiency improvements', 'Increase in renewable energy usage', 'Occupant satisfaction and comfort levels', 'Reduction in water usage', 'Improvement in indoor air quality', 'Building retrofitting completion rate', 'Compliance rate with existing building standards']",,,,,,,,,,none,2025-05-12,false,true
c40_0015,Retrofit residential buildings for energy efficiency,{mitigation},,{stationary_energy},{residential_buildings},{},"The city supports retrofitting existing residential buildings to improve energy efficiency and reduce emissions. Key interventions include replacing inefficient refrigerators, air conditioners, and lighting with high-efficiency models (e.g., PROCEL Seal appliances), sealing windows and doors to reduce air leakage, and improving indoor comfort through natural ventilation and shading. Municipalities can facilitate access to financing programs, bulk procurement, and technical assistance for households to adopt upgrades. Retrofits should prioritize passive cooling strategies (shading, ventilation) before installing high-efficiency cooling technologies using low-GWP refrigerants.",1,0,0,0,-1,0,0,"The ""Existing Building Standards, Residential buildings"" climate action promotes equity and inclusion in several ways: 1. **Targeting Vulnerable Communities**: By focusing on improving the environmental performance of existing residential buildings, the action addresses the needs of low-income and underserved communities that often reside in older, less efficient housing. These populations typically face higher energy costs and may lack the resources to make improvements on their own. 2. **Energy Efficiency Benefits**: Enhancing energy efficiency in residential buildings can lead to lower utility bills, which directly benefits low-income households. This financial relief can help alleviate economic burdens and improve overall quality of life. 3. **Health Improvements**: Upgrading building standards can lead to better indoor air quality and reduced exposure to environmental hazards, which disproportionately affect vulnerable populations. This contributes to improved health outcomes for these communities. 4. **Job Creation and Economic Opportunities**: Implementing building standards often involves retrofitting and renovation work, which can create job opportunities in local communities, particularly for those who may face barriers to employment. This can help stimulate local economies and provide pathways for economic advancement. 5. **Community Engagement**: The development and implementation of building standards can involve community input, ensuring that the voices of underserved populations are heard and considered in decision-making processes. This fosters a sense of ownership and inclusion in climate action efforts. 6. **Long-term Sustainability**: By improving the sustainability of residential buildings, the action contributes to the resilience of communities that are often the most vulnerable to climate impacts, ensuring that they are better equipped to withstand environmental changes. Overall, the action integrates equity and inclusion by addressing the specific needs of underserved communities, promoting health and economic benefits, and ensuring community participation in the process.",0-19,,,,,,low,<5 years,Availability of funding for retrofitting and upgrades Access to skilled labor for implementing building improvements Compliance with local building codes and regulations Availability of energy-efficient technologies and materials Support from local government and stakeholders for policy implementation Public awareness and acceptance of sustainability practices,Energy consumption reduction Greenhouse gas emissions reduction Percentage of buildings meeting new standards Cost savings from energy efficiency improvements Increase in renewable energy usage Occupant satisfaction and comfort levels Reduction in water usage Improvement in indoor air quality Rate of retrofitted buildings Time taken for compliance with standards,,,,,,,,,,,2025-10-22,true,false
c40_0016,Retrofit commercial and institutional other non-residential buildings for energy efficiency,{mitigation},,{stationary_energy},{commercial_and_institutional_buildings_and_facilities},{},"The city promotes energy retrofits in commercial and institutional buildings such as offices, shopping centers, universities, and hotels. Measures include upgrading HVAC systems with variable refrigerant flow (VRF) units, replacing fluorescent and halogen lighting with LEDs, implementing building automation and energy management systems, and improving the thermal envelope (insulation, reflective coatings, shading). Region-specific adaptations may also be required to address cooling and comfort needs. Retrofits often deliver short payback periods through lower operating costs and enhanced occupant comfort. Retrofits should prioritize passive cooling strategies (shading, ventilation) before installing high-efficiency cooling technologies using low-GWP refrigerants.",1,0,0,0,-1,0,0,"The ""Existing Building Standards, Commercial buildings"" climate action promotes equity and inclusion in several ways: 1. **Access to Resources**: By improving the environmental performance of existing commercial buildings, the action can help ensure that underserved communities have access to more energy-efficient spaces, which can lower utility costs and improve overall living conditions. 2. **Job Creation**: The interventions required to upgrade buildings often create job opportunities, particularly in construction and retrofitting, which can benefit local workers from vulnerable communities, providing them with stable employment and skill development. 3. **Health Benefits**: Enhancing the sustainability of commercial buildings can lead to improved air quality and reduced health risks for residents in nearby underserved areas, addressing environmental justice concerns. 4. **Community Engagement**: The implementation of these standards may involve collaboration with local stakeholders, ensuring that the voices of vulnerable communities are heard and considered in the decision-making process. 5. **Long-term Resilience**: By focusing on energy efficiency and sustainability, the action helps build resilience in underserved communities against climate impacts, ensuring they are better equipped to handle environmental changes. Overall, the action integrates equity and inclusion by addressing the needs of vulnerable populations, creating economic opportunities, and fostering healthier living environments.",0-19,,,,,,low,<5 years,Availability of funding and financial incentives for building upgrades Access to skilled labor and contractors for implementing improvements Compliance with local building codes and regulations Availability of technology and materials for energy-efficient upgrades Engagement and support from building owners and tenants Data on current building performance and energy usage for assessment,"Energy consumption reduction Greenhouse gas emissions reduction Percentage of buildings meeting energy efficiency standards Cost savings from energy efficiency improvements Increase in renewable energy usage Occupant satisfaction and comfort levels Retrofit completion rate Water usage reduction Building certification levels (e.g., LEED, BREEAM) Reduction in operational costs",,,,,,,,,,,2025-10-22,true,false
c40_0017,Retrofit municipal buildings for energy efficiency,{mitigation},,{stationary_energy},{commercial_and_institutional_buildings_and_facilities},{},"The city leads by example through energy retrofits in municipal buildings, including schools, health centers, and administrative offices. Interventions include replacing outdated air conditioners with high-efficiency models, upgrading lighting to LEDs with smart controls, improving building envelopes with reflective roofs and shading, and installing energy management systems for real-time monitoring. Adaptations should reflect regional climate conditions to ensure cost-effective energy savings. By prioritizing its own facilities, the city demonstrates leadership, reduces operating expenses, and showcases practical solutions that can be replicated by the private sector. Retrofits should prioritize passive cooling strategies (shading, ventilation) before installing high-efficiency cooling technologies using low-GWP refrigerants.",1,0,0,0,-1,0,0,"The ""Existing Building Standards, Institutional buildings"" climate action promotes equity and inclusion in several ways: 1. **Targeting Institutional Buildings**: By focusing on institutional buildings, which often serve vulnerable or underserved communities (such as schools, community centers, and healthcare facilities), the action ensures that these spaces are improved, benefiting those who rely on them for essential services. 2. **Energy Efficiency and Cost Savings**: Enhancing energy efficiency in existing buildings can lead to reduced utility costs. This is particularly beneficial for low-income communities that may struggle with high energy bills, thereby alleviating financial burdens and promoting economic equity. 3. **Health and Well-being**: Improving the environmental performance of buildings can lead to better indoor air quality and overall health outcomes. Vulnerable populations, who may be more susceptible to health issues, stand to gain significantly from healthier living and working environments. 4. **Community Engagement**: The implementation of building standards often involves community input and engagement, ensuring that the voices of underserved populations are heard and considered in the decision-making process. 5. **Job Creation and Training**: Upgrading existing buildings can create job opportunities in the local community, particularly for those from underserved backgrounds. This can include training programs that equip individuals with skills needed for green jobs, fostering economic inclusion. 6. **Resilience to Climate Impacts**: By improving the sustainability of institutional buildings, the action enhances the resilience of communities that are often disproportionately affected by climate change, ensuring they are better prepared for environmental challenges. Overall, this climate action integrates equity and inclusion by directly addressing the needs of vulnerable communities, promoting health, economic benefits, and resilience.",0-19,,,,,,low,<5 years,Availability of funding for retrofitting and upgrades Access to skilled labor and contractors for implementation Compliance with local building codes and regulations Availability of technology and materials for energy efficiency improvements Support from local government and stakeholders for policy changes Public awareness and acceptance of sustainability initiatives,"Energy consumption reduction Greenhouse gas emissions reduction Percentage of buildings meeting energy efficiency standards Cost savings from energy efficiency improvements Increase in renewable energy usage Occupant satisfaction and comfort levels Water usage reduction Building certification levels (e.g., LEED, BREEAM) Retrofit completion rate Average payback period for energy efficiency investments",,,,,,,,,,,2025-10-22,true,false
c40_0018,Optimize energy efficiency and sustainability standards for existing industrial infrastructure,{mitigation},,{stationary_energy},{manufacturing_industries_and_construction},{},"The city will promote the optimization of energy and environmental performance in existing industrial infrastructure, aiming to maximize efficiency, reduce emissions, and lower operational costs. This action focuses on upgrading equipment, improving process efficiency, and retrofitting industrial facilities to meet higher sustainability standards. Municipal roles may include providing incentives for energy audits and retrofits, facilitating partnerships with industry associations and utilities, and adopting regulations or voluntary standards aligned with national efficiency programs. These measures enhance industrial competitiveness, reduce resource intensity, and contribute to the city’s broader decarbonization and circular economy objectives.",1,0,0,0,-1,0,0,"The ""Existing Building Standards, Industrial buildings"" climate action promotes equity and inclusion in several ways: 1. **Targeting Vulnerable Communities**: By improving the environmental performance of existing buildings, the action directly benefits underserved communities that often reside in older, less efficient structures. These communities typically face higher energy costs and poorer air quality, so enhancing building standards can alleviate these burdens. 2. **Job Creation and Economic Opportunities**: The interventions required to upgrade buildings can create job opportunities, particularly for local workers in vulnerable communities. This can lead to economic empowerment and skill development for individuals who may have limited access to employment in other sectors. 3. **Health Benefits**: Improving energy efficiency and reducing emissions in industrial buildings can lead to better air quality and reduced health risks for nearby residents, many of whom may belong to underserved populations. This action addresses environmental justice by mitigating health disparities linked to pollution. 4. **Community Engagement**: The implementation of building standards often involves community input and engagement, ensuring that the voices of vulnerable populations are heard in the decision-making process. This fosters a sense of ownership and inclusion in the climate action efforts. 5. **Long-term Sustainability**: By focusing on existing structures, the action promotes sustainable development that benefits all community members, ensuring that improvements are not just for affluent areas but also for those that have historically been neglected. Overall, the climate action integrates equity and inclusion by addressing the specific needs of vulnerable communities, creating economic opportunities, and improving health outcomes through enhanced building standards.",0-19,,,,,,low,<5 years,Availability of funding for retrofitting and upgrades Access to skilled labor for implementation of improvements Compliance with local building codes and regulations Availability of technology and materials for energy efficiency enhancements Support from local government and stakeholders for policy changes Data on current building performance and emissions for baseline assessment,"Energy consumption reduction Greenhouse gas emissions reduction Percentage of buildings meeting new standards Cost savings from energy efficiency improvements Increase in renewable energy usage Occupant satisfaction and comfort levels Water usage reduction Waste reduction and recycling rates Building certification levels (e.g., LEED, BREEAM) Return on investment (ROI) for retrofitting projects",,,,,,,,,,,2025-10-22,true,false
